snapshot_index,age_myr,phase,stored_index_outer_to_inner,radius_pc,temperature_K,nH_internal_pc_minus3,nH_cm_minus3,nH_T_K_cm_minus3,muH_over_mu_ion,P_total_over_kB_K_cm_minus3,scalar_Pb_over_kB_K_cm_minus3,scalar_PHII_over_kB_K_cm_minus3
154,0.17330160076943843,implicit,40,2.4794334310125437,1429860.6061614046,5.498882469236351e+55,1.8716420836510481,2676187.284246482,2.2999999999999994,6155230.753766906,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,39,2.5011004469997746,1345066.8712498306,5.845534960924755e+55,1.9896314015672418,2676187.284246465,2.2999999999999994,6155230.753766868,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,38,2.5211110933282854,1257363.3585442053,6.253272267911502e+55,2.1284120187381563,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,37,2.5388253501209785,1169282.9164567736,6.724322497157781e+55,2.2887423108480816,2676187.2842464605,2.2999999999999994,6155230.753766858,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,36,2.5540042900800084,1082690.4400389665,7.26212694774464e+55,2.471793585015973,2676187.284246438,2.2999999999999994,6155230.753766806,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,35,2.566665723948187,999011.8889734437,7.870412261812051e+55,2.678834269926914,2676187.284246482,2.2999999999999994,6155230.753766906,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,34,2.5692261506994987,980386.5692433697,8.019933837670433e+55,2.7297265876580177,2676187.2842464545,2.2999999999999994,6155230.753766844,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,33,2.576961439711859,919542.1888983804,8.550597803557045e+55,2.91034747133522,2676187.2842464545,2.2999999999999994,6155230.753766844,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,32,2.5851688058975655,845097.2565041692,9.303823151902189e+55,3.166721065119499,2676187.2842464494,2.2999999999999994,6155230.753766832,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,31,2.5916388886448893,775809.6170756371,1.0134748587301905e+56,3.449541260308387,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,30,2.5967017001100006,711549.1434244429,1.105002443377612e+56,3.7610716125198196,2676187.2842464657,2.2999999999999994,6155230.753766869,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,29,2.6006237168506345,652385.9438404676,1.205212266589744e+56,4.102153502100749,2676187.284246477,2.2999999999999994,6155230.753766895,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,28,2.603661440687895,597914.7384863304,1.3150094678343984e+56,4.475867731612436,2676187.284246454,2.2999999999999994,6155230.753766842,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,27,2.6060164404643738,547758.9006376292,1.4354190158334038e+56,4.885702963714853,2676187.284246455,2.2999999999999994,6155230.753766845,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,26,2.6078381571820155,501717.9834392234,1.5671424346352873e+56,5.334046959810909,2676187.2842464494,2.2999999999999994,6155230.753766832,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,25,2.6092257115821806,460166.7846486595,1.7086490557278533e+56,5.815689818398664,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,24,2.6102767808236815,422982.67809207574,1.8588551796348044e+56,6.326942976288754,2676187.2842464657,2.2999999999999994,6155230.753766869,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,23,2.6111357479653954,386966.70366965147,2.031863554696115e+56,6.915807636336311,2676187.284246466,2.2999999999999994,6155230.75376687,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,22,2.6117555547573197,356168.01765136526,2.2075635742142615e+56,7.513833785227872,2676187.284246465,2.2999999999999994,6155230.753766868,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,21,2.6122320107951507,328316.6607947921,2.3948329035872165e+56,8.151238130187817,2676187.284246449,2.2999999999999994,6155230.753766831,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,20,2.6126129763880144,302050.9516415345,2.6030824858991765e+56,8.860052483537592,2676187.284246471,2.2999999999999994,6155230.753766881,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,19,2.612898584414847,278822.0799088454,2.819947194728285e+56,9.598189946511333,2676187.2842464596,2.2999999999999994,6155230.753766855,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,18,2.613136515069595,255999.03943760888,3.0713534855230755e+56,10.453895804162604,2676187.2842464764,2.2999999999999994,6155230.753766894,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,17,2.613326809839955,234543.4163350945,3.3523155514368257e+56,11.410199979448501,2676187.2842464764,2.2999999999999994,6155230.753766894,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,16,2.6134695019016294,215954.16171887796,3.640881638070913e+56,12.392385786620075,2676187.2842464764,2.2999999999999994,6155230.753766894,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,15,2.613564616127965,201996.04307664227,3.8924700211524697e+56,13.248711427634468,2676187.284246455,2.2999999999999994,6155230.753766845,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,14,2.613659719303975,186410.04573953315,4.217924731191181e+56,14.356454200895623,2676187.284246466,2.2999999999999994,6155230.75376687,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,13,2.613707266748508,177850.78104826057,4.420917003754383e+56,15.047374368967544,2676187.284246455,2.2999999999999994,6155230.753766845,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,12,2.613802353351435,158696.280536037,4.95451777074705e+56,16.863579128678744,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,11,2.6138498925101494,147774.5919929925,5.3206950630900015e+56,18.10992842648732,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,10,2.613897428907245,135611.98976059793,5.797891052666336e+56,19.73414953184331,2676187.284246444,2.2999999999999994,6155230.753766819,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,9,2.613944962542882,121755.86649070276,6.457705609834386e+56,21.97994529036368,2676187.2842464712,2.2999999999999994,6155230.753766882,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,8,2.61405169381538,78938.79459139421,9.960419919472353e+56,33.90205409265561,2676187.284246477,2.2999999999999994,6155230.753766895,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,7,2.6140633899154113,72293.89127112874,1.0875933336033602e+57,37.01816622665644,2676187.284246471,2.2999999999999994,6155230.753766881,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,6,2.6140734321592656,66207.30356987442,1.187578257491539e+57,40.421330275473636,2676187.2842464386,2.2999999999999994,6155230.753766807,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,5,2.614082214995738,60633.754467283754,1.2967422996896778e+57,44.13692188054152,2676187.2842464386,2.2999999999999994,6155230.753766807,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,4,2.6140900140651984,55528.83006420632,1.4159555336536325e+57,48.19455553362198,2676187.2842464494,2.2999999999999994,6155230.753766832,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,3,2.6140970432281763,50854.11201459945,1.5461159597900986e+57,52.62479626973277,2676187.2842464657,2.2999999999999994,6155230.753766869,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,2,2.6141034403057053,46573.9398288654,1.6882049166472763e+57,57.46104568520544,2676187.284246444,2.2999999999999994,6155230.753766819,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,1,2.614109366884072,42653.0730001975,1.843392484437422e+57,62.74312953334092,2676187.284246438,2.2999999999999994,6155230.753766806,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,0,2.614135069474054,30000.00000000707,2.6208784735568977e+57,89.20624280819433,2676187.2842464605,2.2999999999999994,6155230.753766858,6155230.753766852,6155230.753766852
